epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,123.268,1.21418,2.96614,3.544,1.47511,0,0.90362,0.10232,0.18885,0.1113,0.89701,0.09954,0.18085,0.11377,1.4288,3.1659,3.14319,1.69425,0,0.000330033,0.000330033,0.000330033
2,193.898,1.27591,2.34771,2.87014,1.4982,0,0.83989,0.24303,0.31239,0.18173,0.81859,0.22171,0.28896,0.18474,1.66986,2.96033,2.54733,2.03305,0,0.000656799,0.000656799,0.000656799
3,246.525,1.29878,2.33913,2.41946,1.48113,0,0.74743,0.35177,0.36323,0.23227,0.74022,0.34621,0.35259,0.22953,1.66673,3.29352,2.40335,1.97927,0,0.000976965,0.000976965,0.000976965
4,298.651,1.28837,2.17981,2.32666,1.48617,0,0.66604,0.23889,0.29969,0.17207,0.66946,0.23056,0.28639,0.17882,1.61804,3.3401,2.33419,1.96148,0,0.0009703,0.0009703,0.0009703
5,351.171,1.24362,2.20622,2.18893,1.47312,0,0.61861,0.44017,0.44561,0.2844,0.65095,0.40712,0.41692,0.28529,1.54033,2.95506,2.27518,1.79217,0,0.0009604,0.0009604,0.0009604
6,403.258,1.21728,2.09387,2.01961,1.44262,0,0.74936,0.36899,0.42179,0.25487,0.75664,0.36721,0.41351,0.24877,1.47905,2.78718,2.07233,1.75722,0,0.0009505,0.0009505,0.0009505
7,456.708,1.21593,2.03381,2.00105,1.43205,0,0.69015,0.48992,0.50359,0.32308,0.68709,0.48733,0.48639,0.32237,1.44435,2.59215,1.91372,1.67537,0,0.0009406,0.0009406,0.0009406
8,510.302,1.2335,2.06338,1.92869,1.43442,0,0.5613,0.51101,0.49755,0.34397,0.54951,0.4932,0.48431,0.31697,1.48449,2.58575,1.97948,1.78175,0,0.0009307,0.0009307,0.0009307
9,564.137,1.15977,1.91993,1.72555,1.36553,0,0.56847,0.49196,0.50207,0.30601,0.56373,0.48874,0.46889,0.31554,1.53109,2.66736,1.75561,1.79025,0,0.0009208,0.0009208,0.0009208
10,616.47,1.14267,1.99026,1.73119,1.36579,0,0.46447,0.49998,0.46261,0.31513,0.45096,0.48402,0.43923,0.302,1.46348,2.49242,2.10947,1.66611,0,0.0009109,0.0009109,0.0009109
