epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,518.424,1.11554,1.85377,1.36114,1.23307,0,0.70751,0.32341,0.41469,0.21148,0.62896,0.37698,0.42989,0.26129,1.84536,3.24382,1.99814,2.04056,0,0.0009035,0.0009035,0.0009035
30,535.198,1.1977,1.84536,1.41549,1.28004,0,0.78648,0.40079,0.66888,0.31817,0.7657,0.44819,0.69697,0.36293,1.7916,3.09132,1.97202,1.93651,0,0.000891125,0.000891125,0.000891125
31,553.296,1.11988,1.89067,1.36434,1.26227,0,0.65518,0.63273,0.6443,0.32489,0.75456,0.72797,0.77126,0.36623,1.76836,3.09232,1.84546,1.8158,0,0.00087875,0.00087875,0.00087875
32,571.112,1.1151,1.77822,1.3939,1.25476,0,0.77019,0.45717,0.47514,0.27766,0.73565,0.4476,0.44319,0.28682,1.70228,2.90178,1.71809,1.87421,0,0.000866375,0.000866375,0.000866375
33,588.536,1.04592,1.7558,1.25437,1.19996,0,0.74038,0.47817,0.54136,0.29894,0.81305,0.46032,0.58281,0.31701,1.67228,2.81024,1.69086,1.8003,0,0.000854,0.000854,0.000854
34,605.929,1.11391,1.80834,1.33519,1.26393,0,0.69184,0.47817,0.65955,0.31753,0.59743,0.52565,0.66527,0.33689,1.64855,2.92278,1.64156,1.82418,0,0.000841625,0.000841625,0.000841625
35,623.711,1.09277,1.70322,1.28642,1.25051,0,0.60336,0.69246,0.62561,0.34595,0.60259,0.71032,0.60944,0.3548,1.78163,3.05057,1.8573,2.00755,0,0.00082925,0.00082925,0.00082925
36,641.146,1.04551,1.72511,1.25364,1.19966,0,0.54,0.68024,0.59855,0.36104,0.56958,0.7493,0.6967,0.37436,1.70328,3.25959,1.91339,1.9258,0,0.000816875,0.000816875,0.000816875
37,658.462,0.9556,1.66694,1.11701,1.14289,0,0.70267,0.67938,0.68237,0.42628,0.71042,0.65203,0.68639,0.38438,1.7791,3.05053,1.63239,2.01668,0,0.0008045,0.0008045,0.0008045
38,675.855,1.08867,1.71689,1.22617,1.21744,0,0.72968,0.69246,0.70338,0.42748,0.74269,0.70377,0.71991,0.41032,1.67114,2.91802,1.61378,1.82101,0,0.000792125,0.000792125,0.000792125
39,707.409,1.05032,1.76624,1.17118,1.22478,0,0.62285,0.64065,0.67515,0.43948,0.6865,0.71207,0.72603,0.45095,1.62123,3.10949,1.50131,1.75983,0,0.00077975,0.00077975,0.00077975
40,745.66,1.0426,1.65631,1.1981,1.18188,0,0.71277,0.65675,0.67827,0.45169,0.75478,0.69841,0.72827,0.43044,1.6134,3.24444,1.54559,1.8315,0,0.000767375,0.000767375,0.000767375
41,771.984,1.02376,1.62848,1.17412,1.20621,0,0.9091,0.64885,0.74059,0.47899,0.8536,0.61996,0.7375,0.43914,1.69039,2.93935,1.59997,1.87397,0,0.000755,0.000755,0.000755
42,807.941,1.01469,1.58684,1.12038,1.18296,0,0.7328,0.67361,0.71501,0.47024,0.71292,0.65675,0.70818,0.45578,1.71323,3.35911,1.68288,1.88468,0,0.000742625,0.000742625,0.000742625
43,838.457,0.99076,1.60854,1.13125,1.18313,0,0.68981,0.6649,0.70652,0.44236,0.65397,0.64109,0.67283,0.42681,1.67824,3.44936,1.63964,1.83646,0,0.00073025,0.00073025,0.00073025
44,858.332,0.94239,1.72564,1.09744,1.13889,0,0.44845,0.81094,0.62104,0.37259,0.47924,0.69009,0.57299,0.382,1.65048,3.18799,1.58835,1.85746,0,0.000717875,0.000717875,0.000717875
45,876.151,1.02138,1.79292,1.13903,1.19607,0,0.68908,0.73937,0.77362,0.45459,0.67396,0.72747,0.7705,0.48567,1.77003,3.12888,1.56265,1.99875,0,0.0007055,0.0007055,0.0007055
46,893.608,1.03249,1.65619,1.10408,1.19324,0,0.81426,0.67258,0.78991,0.48415,0.77486,0.66067,0.75602,0.46438,1.68181,3.13322,1.5793,1.87712,0,0.000693125,0.000693125,0.000693125
47,910.952,0.99121,1.63201,1.03107,1.15767,0,0.77816,0.67879,0.73659,0.38561,0.68548,0.74242,0.73027,0.40305,1.7858,2.91163,1.58078,1.84501,0,0.00068075,0.00068075,0.00068075
48,928.46,0.97382,1.62427,1.0262,1.17718,0,0.78978,0.72211,0.75246,0.43273,0.81497,0.73965,0.75559,0.3932,1.64099,2.66834,1.54408,1.85331,0,0.000668375,0.000668375,0.000668375
49,945.752,0.93616,1.54061,1.01984,1.14798,0,0.83998,0.7877,0.81869,0.46345,0.82138,0.77579,0.80488,0.45959,1.60272,2.59735,1.40421,1.81738,0,0.000656,0.000656,0.000656
50,963.064,0.95347,1.56672,0.99712,1.14498,0,0.71638,0.68812,0.75064,0.50122,0.78178,0.71063,0.739,0.45624,1.54134,2.67087,1.46371,1.71989,0,0.000643625,0.000643625,0.000643625
51,980.296,0.91432,1.60087,0.96302,1.11177,0,0.7663,0.73928,0.7879,0.50322,0.73758,0.72886,0.72909,0.44373,1.60896,2.70274,1.49048,1.81644,0,0.00063125,0.00063125,0.00063125
52,998.358,0.95178,1.54243,0.98681,1.12718,0,0.72558,0.73413,0.7762,0.50301,0.70569,0.72817,0.74413,0.44795,1.67259,2.75429,1.46227,1.92833,0,0.000618875,0.000618875,0.000618875
53,1015.92,0.82914,1.44665,0.91162,1.07888,0,0.81735,0.69299,0.76631,0.45583,0.81735,0.69299,0.77351,0.44843,1.67277,2.85022,1.41777,1.88757,0,0.0006065,0.0006065,0.0006065
54,1033.59,0.93466,1.49004,0.95435,1.12783,0,0.75869,0.72222,0.74661,0.43428,0.70817,0.69841,0.7003,0.40568,1.66495,3.05162,1.52319,1.92642,0,0.000594125,0.000594125,0.000594125
55,1051.16,0.91344,1.64325,0.93494,1.11802,0,0.77184,0.72886,0.72606,0.47138,0.77883,0.75806,0.76799,0.46068,1.65925,2.94141,1.43071,1.90418,0,0.00058175,0.00058175,0.00058175
56,1068.7,0.86963,1.48778,0.88697,1.09976,0,0.8034,0.73453,0.70978,0.43151,0.78338,0.75198,0.74431,0.43481,1.64309,2.99197,1.47087,1.91477,0,0.000569375,0.000569375,0.000569375
57,1086.32,0.93326,1.44898,0.92273,1.11168,0,0.74141,0.76099,0.73678,0.46717,0.74416,0.7781,0.76751,0.41925,1.62442,3.17964,1.42572,1.85436,0,0.000557,0.000557,0.000557
58,1104.42,0.82929,1.51728,0.8806,1.10097,0,0.71725,0.66386,0.73467,0.47065,0.72914,0.65675,0.74741,0.44454,1.65437,3.11114,1.4883,1.881,0,0.000544625,0.000544625,0.000544625
59,1122.43,0.90239,1.56682,0.89556,1.13555,0,0.64466,0.69596,0.69194,0.3962,0.75007,0.65675,0.7241,0.40804,1.64188,3.09333,1.41799,1.83669,0,0.00053225,0.00053225,0.00053225
60,1140.41,0.87196,1.47121,0.88081,1.06841,0,0.72786,0.69018,0.75605,0.41738,0.75637,0.63805,0.71861,0.39424,1.67201,3.01449,1.38043,1.84798,0,0.000519875,0.000519875,0.000519875
61,1173.47,0.83215,1.36203,0.82076,1.06843,0,0.63592,0.75198,0.7013,0.38979,0.5595,0.6627,0.62729,0.36321,1.59632,3.10579,1.40908,1.76656,0,0.0005075,0.0005075,0.0005075
62,1214.56,0.89091,1.48421,0.87539,1.09597,0,0.5914,0.7435,0.68547,0.44115,0.5538,0.69589,0.62326,0.40749,1.68204,3.19959,1.42604,1.82139,0,0.000495125,0.000495125,0.000495125
63,1256.61,0.86746,1.43871,0.84563,1.07159,0,0.73494,0.74556,0.75618,0.47942,0.71382,0.73377,0.7285,0.42519,1.66946,3.17084,1.38469,1.85068,0,0.00048275,0.00048275,0.00048275
64,1298.06,0.81196,1.38159,0.80317,1.06083,0,0.70887,0.75384,0.76249,0.50605,0.88312,0.73382,0.79162,0.46922,1.53933,2.97247,1.29191,1.73819,0,0.000470375,0.000470375,0.000470375
65,1340.1,0.80379,1.33511,0.78265,1.06266,0,0.78758,0.65079,0.74165,0.50965,0.77066,0.65675,0.70836,0.45263,1.47418,2.99438,1.39251,1.68919,0,0.000458,0.000458,0.000458
66,1381.99,0.78042,1.34521,0.75262,1.02677,0,0.62897,0.70437,0.6994,0.49089,0.71773,0.63294,0.69671,0.4514,1.50092,2.88432,1.3625,1.70264,0,0.000445625,0.000445625,0.000445625
67,1423.95,0.81967,1.42144,0.78596,1.08722,0,0.66205,0.7207,0.74851,0.48393,0.6998,0.71413,0.74905,0.43848,1.50329,2.90872,1.40579,1.68805,0,0.00043325,0.00043325,0.00043325
68,1465.35,0.77805,1.40978,0.74896,1.03782,0,0.61787,0.72296,0.70436,0.50907,0.74367,0.67041,0.71161,0.44341,1.51661,3.06273,1.40706,1.77845,0,0.000420875,0.000420875,0.000420875
69,1505.82,0.81952,1.32916,0.75034,1.05061,0,0.61451,0.76982,0.72691,0.50865,0.74856,0.6746,0.73305,0.45309,1.54134,3.1234,1.31419,1.74532,0,0.0004085,0.0004085,0.0004085
70,1547.47,0.78927,1.34221,0.76189,1.03523,0,0.67625,0.79464,0.80705,0.49377,0.69783,0.81178,0.82174,0.45701,1.5456,3.07049,1.30339,1.70965,0,0.000396125,0.000396125,0.000396125
71,1589.66,0.76485,1.31332,0.72864,1.03611,0,0.70184,0.82656,0.83738,0.46935,0.70235,0.79067,0.82311,0.46479,1.57794,3.09884,1.3291,1.73035,0,0.00038375,0.00038375,0.00038375
